"","Pood","Tootenimi","Hind,€","Hind, €/kg"
"1","Selver","Vikerforell roogitud, jahutatud, HÄRJANURME, kg",11.99,11.99
"2","Selver","Poke-kauss forelliga, SELVERI KÖÖK, 350 g",6.39,18.26
"3","Selver","Minivõileivad forelliga, SELVERI KÖÖK, 260 g",9.69,37.27
"4","Selver","Täidetud munad kreveti ja forellimarjaga, SELVERI KÖÖK, 190g, ettetellimisel",5.09,26.79
"5","Selver","Minivõileivad forelliga, SELVERI KÖÖK, 650 g, ettetellimisel",20.9,32.15
"6","Selver","Täissööt. Kuivtoit keerulise isuga kassile tursk-forell, PURINA ONE, 800g",6.79,8.49
"7","Selver","Kuumsuitsuforelli uramaki, SELVERI KÖÖK, 220 g",6.49,29.5
"8","Selver","Täissööt. Kiisueine forelli ja spinatiga, GOURMET PERLE, 85g",1.09,12.82
"9","Selver","Kana ja kuumsuitsuforelli uramakid, SELVERI KÖÖK, 440 g",9.49,21.57
"10","Selver","Soolaforelli-muna võileib, SELVERI KÖÖK, 100g",2.65,26.5
"11","Selver","Soolaforelli fileelõigud, M.V.WOOL, 100 g",3.99,39.9
"12","Selver","Kuumsuitsu lõhe/forelliribid, M.V.WOOL, kg",4.99,4.99
"13","Selver","Vikerforellifilee B-trim, HÄRJANURME, kg",22.9,22.9
"14","Selver","Külmsuitsu forellifilee, M.V.WOOL, 100 g",4.39,43.9
"15","Selver","Forellimari, KALURI, 100g",8.99,89.9
"16","Selver","Kuumsuitsu vikerforellifilee portsjon pipraga, SAARE KALA, 120 g",5.49,45.75
"17","Selver","Forellimari, KAPTEN GRANT, 100 g",10.49,104.9
"18","Selver","Beebi-vikerforell roogitud, jahutatud, HÄRJANURME, kg",12.99,12.99
"19","Selver","Forellimari, M.V.WOOL, 135 g",13.99,103.63
"20","Selver","Sushi-salat kuumsuitsuforelliga, SELVERI KÖÖK, 700g, ettetellimisel",14.89,21.27
"21","Selver","Külmsuitsu forellifilee tükk, AVIKALA, kg",45.9,45.9
"22","Selver","Forellimari suitsumaitseline, HÄÄMEKK, 100 g",9.99,99.9
"23","Rimi","Jahutatud lõhefilee B-trim",NA,13.99
"24","Rimi","Lõhefilee RIMI luudeta, nahata 500g",15.99,31.98
"25","Rimi","Kassisööt lõhe.tursk.NutriBalance 415g",1.45,3.49
"26","Rimi","Õrnsoola forelli viilud 100g",4.49,44.9
"27","Rimi","Kassisööt One Difficult. tursk-forell 800g",6.99,8.74
"28","Rimi","Forellisupp Mamma 300g",3.79,12.63
"29","Rimi","Forelliburger, külm. Saare Kala 200g",3.49,17.45
"30","Rimi","Forellimari premium 100g",9.49,94.9
"31","Rimi","Forellimari premium Sudrablinis 300g",29.99,99.97
"32","Rimi","Forellinagitsad, külm. Saare Kala 200g",7.99,39.95
"33","Prisma","Külmsuitsu forell Premium 150 g",8.74,58.27
"34","Prisma","Külmsuitsuforell, viilutatud 100 g",3.29,32.9
"35","Prisma","Külmsuitsuforell viilutatud 200 g",7.49,37.45
"36","Prisma","Külmsuitsu vikerforell dzinni ja kadakamarjadega, viilutatud, 800g",35.99,NA
"37","Prisma","Külmsuitsuforell, viilutatud Mati Kala 90 g",3.39,37.67
"38","Prisma","Forellimari 1kg",7,69.99
"39","Prisma","Vikerforell jahutatud, kg",9.99,9.99
"40","Prisma","Forellimari 135 g",13.69,101.41
"41","Prisma","Forellimari 450 g",40.67,90.38
"42","Prisma","Soolaforell Mati Kala, viilutatud 90 g",3.59,39.89
"43","Prisma","Soolaforell, viilutatud 100 g",3.99,39.9
"44","Prisma","Forelliburger 200g, külmutatud",3.09,15.45
"45","Prisma","Närimispulgad kassidele lõhe ja forelliga 5 tk",0.99,39.6
"46","Prisma","Kodujuustu-forelli salat 250 g",4.09,16.36
"47","Prisma","Forellisupp 300 g",3.29,10.97
"48","Prisma","Forellivorm 300 g",3.39,11.3
"49","Prisma","Forellikauss 330 g",5.59,16.94
"50","Barbora","Kiisueine GOURMET PERLE forell.,spin.85g",1.09,12.82
"51","Barbora"," Külmsuitsu vikerforellifilee, 200g",4.99,24.95
"52","Barbora","Külmsuits.vikerforellifilee viilud, 100g",4.49,44.9
"53","Barbora","Õrnsoola vikerforellifilee viilud, 100g",4.49,44.9
"54","Barbora"," Vikerforellifilee õrnas soolas, 200g",4.99,24.95
"55","Barbora","Forellimari LEMBERG, 250g",27.49,109.96
"56","Barbora","Forellimari Koduranna, 100g",9.99,99.9
"57","Barbora","Forellimari LEMBERG, 200g",19.99,99.95
"58","Bolt Market Soola","Chef Lunden, forellikauss, 330g",5.99,18.15
"59","Bolt Market Soola","Lipton, must tee Forest Fruit, 20tk",3.05,NA
"60","Bolt Market Soola","Red Bull, energiajook Summer Edition Forest Berries, 250ml",1.75,NA
"61","Bolt Market Soola","M.V.Wool, soolalõhe viilutatud, 100g",4.39,43.9
"62","Bolt Market Soola","Teekanne, talvetee ""Kaminaõhtu"", 50g",2.79,55.8
"63","Bolt Market Soola","Veski Mati, kaerahelbe kiirpuder metsamarjadega, 45g",0.65,14.44
"64","Bolt Market Soola","Casa Charlize, Floreale Pinot Grigio Blush Terre Siciliane IGT 12%, 0,75l",11.05,NA
"65","Wolt Market Karlova","Forellimari M.V.Wool 135g",13.99,103.63
"66","Wolt Market Karlova","Athena mahlased närimispulgad lõhe ja forelliga ( lihasisaldus 83%) 50g",1.59,31.8
