"","Pood","Tootenimi","Hind,€","Hind, €/kg"
"1","Selver","Vikerforell roogitud, jahutatud, HÄRJANURME, kg",11.99,11.99
"2","Selver","Poke-kauss forelliga, SELVERI KÖÖK, 350 g",6.39,18.26
"3","Selver","Minivõileivad forelliga, SELVERI KÖÖK, 260 g",9.69,37.27
"4","Selver","Täidetud munad kreveti ja forellimarjaga, SELVERI KÖÖK, 190g, ettetellimisel",5.09,26.79
"5","Selver","Minivõileivad forelliga, SELVERI KÖÖK, 650 g, ettetellimisel",20.9,32.15
"6","Selver","Täissööt. Kuivtoit keerulise isuga kassile tursk-forell, PURINA ONE, 800g",6.79,8.49
"7","Selver","Kuumsuitsuforelli uramaki, SELVERI KÖÖK, 220 g",6.49,29.5
"8","Selver","Täissööt. Kiisueine forelli ja spinatiga, GOURMET PERLE, 85g",1.09,12.82
"9","Selver","Kana ja kuumsuitsuforelli uramakid, SELVERI KÖÖK, 440 g",9.49,21.57
"10","Selver","Soolaforelli-muna võileib, SELVERI KÖÖK, 100g",2.65,26.5
"11","Selver","Soolaforelli fileelõigud, M.V.WOOL, 100 g",3.99,39.9
"12","Selver","Kuumsuitsu lõhe/forelliribid, M.V.WOOL, kg",4.99,4.99
"13","Selver","Kuumsuitsuforellirullid teriyaki kastmega, SELVERI KÖÖK, 500 g",14.69,29.38
"14","Selver","Vikerforellifilee B-trim, HÄRJANURME, kg",22.9,22.9
"15","Selver","Külmsuitsu forellifilee, M.V.WOOL, 100 g",4.39,43.9
"16","Selver","Forellimari, KALURI, 100g",8.99,89.9
"17","Selver","Kuumsuitsu vikerforellifilee portsjon pipraga, SAARE KALA, 120 g",5.49,45.75
"18","Selver","Forellimari, KAPTEN GRANT, 100 g",10.49,104.9
"19","Selver","Beebi-vikerforell roogitud, jahutatud, HÄRJANURME, kg",12.99,12.99
"20","Selver","Forellimari, M.V.WOOL, 135 g",13.99,103.63
"21","Selver","Sushi-salat kuumsuitsuforelliga, SELVERI KÖÖK, 700g, ettetellimisel",14.89,21.27
"22","Selver","Külmsuitsu forellifilee tükk, AVIKALA, kg",45.9,45.9
"23","Selver","Forellimari suitsumaitseline, HÄÄMEKK, 100 g",9.99,99.9
"24","Rimi","Vikerforelli filee, kg",NA,12.99
"25","Rimi","Lõhe jahutatud, roogitud kg",NA,8.99
"26","Rimi","Vik.forellifil. nahaga ports. Saare Kala 240g",7.99,33.29
"27","Rimi","Vikerforellifilee portsjonid 250g",8.99,35.96
"28","Rimi","Kassisööt lõhe.tursk.NutriBalance 415g",1.45,3.49
"29","Rimi","Õrnsoola forelli viilud 100g",4.49,44.9
"30","Rimi","Kassisööt One Difficult. tursk-forell 800g",6.99,8.74
"31","Rimi","Forellisupp Mamma 300g",3.79,12.63
"32","Rimi","Forellimari premium 100g",10.49,104.9
"33","Rimi","Forelliburger, külm. Saare Kala 200g",3.49,17.45
"34","Prisma","Külmsuitsu forell Premium 150 g",8.74,58.27
"35","Prisma","Külmsuitsuforell, viilutatud 100 g",3.29,32.9
"36","Prisma","Külmsuitsuforell viilutatud 200 g",7.49,37.45
"37","Prisma","Külmsuitsu vikerforell dzinni ja kadakamarjadega, viilutatud, 800g",35.99,NA
"38","Prisma","Vikerforell jahutatud, kg",9.99,9.99
"39","Prisma","Külmsuitsuforell, viilutatud Mati Kala 90 g",3.39,37.67
"40","Prisma","Forellimari 1kg",69.99,NA
"41","Prisma","Soolaforell Mati Kala, viilutatud 90 g",3.59,39.89
"42","Prisma","Forellimari 135 g",13.69,101.41
"43","Prisma","Soolaforell, viilutatud 100 g",3.99,39.9
"44","Prisma","Forellimari 450 g",40.67,90.38
"45","Prisma","Forelliburger 200g, külmutatud",3.09,15.45
"46","Prisma","Närimispulgad kassidele lõhe ja forelliga 5 tk",0.99,39.6
"47","Prisma","Kodujuustu-forelli salat 250 g",4.09,16.36
"48","Prisma","Forellisupp 300 g",3.29,10.97
"49","Prisma","Forellivorm 300 g",3.39,11.3
"50","Prisma","Lõhe-forellitort 580 g",17.99,31.02
"51","Prisma","Forellikauss 330 g",5.59,16.94
"52","Barbora"," Külmsuitsu vikerforellifilee, 200g",4.99,24.95
"53","Barbora","Jahutatud forellifilee B-trim, kg",11.99,11.99
"54","Barbora","Külmsuits.vikerforellifilee viilud, 100g",3.59,35.9
"55","Barbora","Õrnsoola vikerforellifilee viilud, 100g",4.49,44.9
"56","Barbora"," Vikerforellifilee õrnas soolas, 200g",4.99,24.95
"57","Barbora"," Forellimari LEMBERG, 250g",20.59,82.36
"58","Barbora"," Forellimari Koduranna, 100g",7.49,74.9
"59","Barbora"," Forellimari LEMBERG, 200g",14.99,74.95
"60","Barbora"," Forellimari WELL DONE 200g",11.99,59.95
"61","Bolt Market Soola","Chef Lunden, forellikauss, 330g",5.99,18.15
"62","Bolt Market Soola","Lipton, must tee Forest Fruit, 20tk",3.05,NA
"63","Bolt Market Soola","Red Bull, energiajook Summer Edition Forest Berries, 250ml",1.75,NA
"64","Bolt Market Soola","M.V.Wool, soolalõhe viilutatud, 100g",4.39,43.9
